College,Tuition (in-state),Tuition (out-of-state),Room & Board
"Saint Joseph's College, ME",35650,,13680
"Saint Joseph's University, PA",45448,,15099
Saint Lawrence University,55110,,14202
Saint Louis University,43853,,11309
Saint Michael's College,45375,,12220
Saint Peter's University,37858,,15947
Salem State University,10689,17374,12698
Salve Regina University,40150,,14500
Samford University,31710,,10691
Santa Clara University,51852,,15066
Sarah Lawrence College,56170,,15881
Savannah College of Art and Design,37346,,17024
School of the Art Institute of Chicago,49036,,14040
School of the Museum of Fine Arts,56491,,14616
"School of Visual Arts, NYC",41579,,20800
Seattle Pacific University,42529,,11681
Seattle University,44600,,12555
Seton Hall University,42212,,15723
Shenandoah University,32594,,10587
Siena College,37911,,15132
Sierra Nevada College,33945,,13275
Simmons College,41184,,15392
Simon's Rock College of Bard,55555,,15061
Skidmore College,54544,,14564
Smith College,52046,,17399
Southeastern University,52046,,17399
Southern Adventist University,22412,,6968
Southern Connecticut State University,10958,24155,12929
Southern New Hampshire University,33841,,13936
Southern Vermont College,25891,,11440
Spelman College,29286,,13999
Springfield College,37996,,12730
St. Bonaventure University,34633,,12279
St. Edward's University,44678,44678,12375
"St. John's University, New York",42141,,17299
St. Joseph's College Brooklyn,27612,,15229
"St. Joseph's University, PA",45635,,15099
St. Mary's College of Maryland,15076,31146,13329
St. Olaf College,45947,,10483
Stanford University,51602,,15716
Sterling College,25984,,8663
Stetson University,46270,,13312
Stevens Institute of Technology,52754,,15371
Stonehill College,42952,,16286
Suffolk University,38806,,15882
SUNY Albany,9870,25345,14003
,,,
SUNY Cobleskill,8465,18501,13709
SUNY ESF,8885,18921,17108
"SUNY, Plattsburgh",8474,18510,13104
"SUNY, Potsdam",8549,18585,13296
"SUNY, Stony Brook",9628,27839,13984
Susquehanna University,47289,,12574
Swarthmore College,52855,,15550
Sweet Briar College,21000,,13000
Syracuse University,48625,,16180
Taylor University,34200,,9615
Temple University,17324,29555,15681
The King's College,36816,,14000
The New School,47050,,18287
The University of the Arts,46450,,16338
Thomas College,27560,,10962
Tisch School of the Arts,57641,,18371
"Touro College, NY",20769,,18371
Towson University,10082,23026,12671
Trinity College,56961,,14768
Tufts University,56491,,14616
Tulane University,55078,,15117
Tuskegee University,22308,,10036
Union College,55294,,13565
Unity College,29484,,10816
University at Buffalo,,28150,12976
University of Alabama,12043,30056,13753
University of Arizona,,35700,12550
University of Bridgeport,31356,,16536
"University of California, Davis",14957,44092,16781
"University of California, Los Angeles",13790,42925,15749
"University of California, San Diego",14612,43747,13839
"University of California, Santa Barbara",14985,44120,15369
University of Central Florida,6192,21817,10155
University of Chicago,57018,,16355
University of Cincinati,11440,28948,11859
"University of Colorado, Boulder",12569,37669,14558
University of Connecticut,15434,38384,13015
University of Connecticut Avery Point,13688,36056,10348
University of Connecticut Stamford,13352,36302,10348
University of Delaware,12345,33134,12825
University of Denver,50616,,13116
University of Dubuque,30898,,9828
University of Findlay,34653,,10109
University of Florida,6635,29804,10306
University of Georgia,12291,31608,10462
University of Hartford,40466,,12840
University of Iowa,9558,32067,10868
University of Kentucky,13842,28482,13178
University of Louisville,11511,27134,8765
University of Maine at Farmington,9836,19787,9707
University of Maine at Fort Kent,8284,12558,8226
University of Maine at Machias,7987,20093,8825
"University of Maine, Orono",11338,31493,10541
"University of Maine, Presque Isle",8200,12475,8595
University of Mary Washington,12613,28469,11347
"University of Maryland, Baltimore County",11979,26680,12309
"University of Maryland, College Park",10814,34950,12484
"University of Massachusetts, Amherst",16027,34816,12748
"University of Massachusetts, Boston",14381,34303,14093
"University of Massachusetts, Dartmouth",14114,29416,13453
"University of Massachusetts, Lowell",15392,33140,12996
University of Miami,50423,,14213
"University of Michigan, Ann Arbor",17364,52840,11646
University of Mississippi,8622,24496,10922
University of New England,37320,,13990
University of New Hampshire,18790,33942,11717
"University of New Hampshire, Manchester",15444,30597,11324
University of New Haven,39697,,16234
University of New Mexico,7354,22918,9864
"University of North Carolina, Chapel Hill",9254,35972,12018
"University of North Carolina, Greensboro",7540,23305,8864
"University of North Carolina, Wilmington",7330,21907,10910
University of Notre Dame,53565,,15486
University of Oregon,12034,35995,11908
University of Pennsylvania,55675,,15669
University of Pittsburgh,19843,31868,12045
University of Redlands,49995,,14416
"University of Rhode Island, Kingston",14344,31244,12950
University of Richmond,52946,,12293
University of Rochester,54065,,15952
"University of Saint Joseph, CT",39113,,11428
"University of Saint Thomas, MN",42778,,10758
University of San Diego,49616,,13135
University of San Francisco,48100,,14903
University of Scranton,44626,,15714
"University of South Carolina, Columbia",12686,33496,11648
University of Southern California,56496,,15481
University of Southern Maine,9589,22911,9568
University of Tampa,29563,,10922
"University of Texas, Arlington",10350,25378,9281
"University of Texas, Austin",10311,36702,10473
University of Utah,8274,26206,10989
University of Valley Forge,21705,,8954
University of Vermont,18450,43010,12534
University of Virginia,16719,48468,11669
University of Washington,11151,36697,12602
"University of Wisconsin, Madison",10955,36174,11276
Ursinus College,52374,,13062
Utica College,21504,,11261
Vanderbilt University,49571,,16207
Vassar College,57418,,13416
Vermont Technical College,15683,28488,10702
Villanova University,53335,,15065
Virginia Commonwealth University,14231,35065,10594
Virginia Military Institute,14273,40988,9605
Virginia Polytechnic Institute,13759,32255,9038
Wagner College,46592,,14196
Wake Forest University,53322,,14394
Warner University,21545,,8682
Warren Wilson College,36654,,11086
Washington & Jefferson College,47890,,13884
Washington College,45895,,11482
Washington State University,11585,26802,11185
Waynesburg University,24970,,10213
Wellesley College,53732,,16468
Wells College,41184,,14279
Wentworth Institute of Technology,33950,,14190
Wesleyan University,54573,,16064
West Chester University,5257,11227,10496
West Virginia University,10411,24324,12507
Western Connecticut State University,10876,24073,13853
Western New England University,37170,,13980
Westfield State University,10104,16427,10922
Westminster College (PA),19092,,12698
"Westminster College, Salt Lake City",34362,,10537
"Wheaton College, Illinois",36598,,10660
"Wheaton College, Norton",52884,,13487
Wheelock College,37804,,15574
Whitman College,51771,,13025
Whittier College,48173,,14258
Widener University,45933,,15452
Wilkes University,36292,,14177
Williams College,55692,,14716
Wingate University,32365,,11211
Winston-Salem State University,8862,19346,10041
Winthrop University,15465,29937,9262
Wofford College,43633,,12626
Worcester Polytechnic Institute,50518,,14716
Worcester State University,9913,16236,12651
Xavier University of Louisiana,23173,,5137
"Xavier University, Ohio",38839,,12636
Yale University,53456,,16120
York College of Pennsylvania,20207,,11263
